Liquid Oxygen,,,,
,,,,
Density,[kg/m^3],1303.9,,
Temperature,[C],-218,,
Dynamic Viscosity,[Pa s],0.0007793,,
,,,,
 Z [ m ], Pressure [ MPa ], Velocity [ m s^-1 ],,
0.364312232,0.001258271,0.037197731,,
0.362141371,0.001277473,0.038864721,,
0.35997051,0.001326993,0.042612769,,
0.357799649,0.001343128,0.043340799,,
0.355628788,0.001364021,0.044125591,,
0.353457928,0.001379648,0.044721667,,
0.351287067,0.001429685,0.043879259,,
0.349116206,0.001449449,0.042672791,,
0.346945345,0.001468448,0.041678216,,
0.344774485,0.001518137,0.039819099,,
0.342603624,0.001534827,0.039617073,,
0.340432763,0.001555718,0.039837752,,
0.338261902,0.001570963,0.039740734,,
0.336091042,0.001621638,0.042010307,,
0.333920181,0.001641825,0.04388598,,
0.33174932,0.001660471,0.045278732,,
0.329578459,0.001710348,0.047137238,,
0.327407598,0.001727675,0.047544796,,
0.325236738,0.001748582,0.048999667,,
0.323065877,0.001763327,0.049450375,,
0.320895016,0.001814557,0.050505448,,
0.318724155,0.001835126,0.050797481,,
0.316553295,0.001853363,0.051178593,,
0.314382434,0.001903576,0.053488866,,
0.312211573,0.001921565,0.054897279,,
0.310040712,0.001942337,0.056834903,,
0.307869852,0.00199408,0.062520862,,
0.305698991,0.002008396,0.064372048,,
0.30352813,0.002028886,0.066932671,,
0.301357269,0.002046174,0.069007903,,
0.299186409,0.002095774,0.073834404,,
0.297015548,0.002113963,0.075205185,,
0.294844687,0.002134154,0.07673008,,
0.292673826,0.002185253,0.080168583,,
0.290502965,0.002200266,0.080993429,,
0.288332105,0.002220864,0.082288891,,
0.286161244,0.002237439,0.083767265,,
0.283990383,0.00228726,0.087403029,,
0.281819522,0.002305585,0.088404581,,
0.279648662,0.002323939,0.089582034,,
0.277477801,0.00237508,0.09394525,,
0.27530694,0.002391462,0.09559577,,
0.273136079,0.002410913,0.097514629,,
0.270965219,0.002459983,0.10127183,,
0.268794358,0.002475021,0.101752751,,
0.266623497,0.002496462,0.101864614,,
0.264452636,0.002541748,0.101647243,,
0.262281775,0.00255449,0.10095562,,
0.260110915,0.002576216,0.099436954,,
0.257940054,0.002590261,0.098521479,,
0.255769193,0.002637869,0.098086104,,
0.253598332,0.002660869,0.09847562,,
0.251427472,0.002677553,0.098730423,,
0.249256611,0.002724912,0.101667926,,
0.24708575,0.002746873,0.10382124,,
0.244914889,0.002767042,0.105791546,,
0.242744029,0.002811719,0.110356703,,
0.240573168,0.002830158,0.112342514,,
0.238402307,0.002853715,0.114879318,,
0.236231446,0.002901214,0.11964187,,
0.234060585,0.00291411,0.120767653,,
0.231889725,0.002937974,0.122857988,,
0.229718864,0.002956953,0.124519587,,
0.227548003,0.003001034,0.127791211,,
0.225377142,0.003021,0.129021451,,
0.223206282,0.003044541,0.130474091,,
0.221035421,0.003091275,0.133367717,,
0.21886456,0.003105165,0.134233132,,
0.216693699,0.003129428,0.135752484,,
0.214522839,0.003147653,0.136891559,,
0.212351978,0.00319193,0.140270621,,
0.210181117,0.00321269,0.142112553,,
0.208010256,0.003235994,0.144184276,,
0.205839396,0.003281705,0.148253277,,
0.203668535,0.003295963,0.149523869,,
0.201497674,0.003320211,0.151685491,,
0.199326813,0.003338099,0.153309613,,
0.197155952,0.00338141,0.157696933,,
0.194985092,0.00340186,0.160024047,,
0.192814231,0.003425149,0.162931368,,
0.19064337,0.003473345,0.168959513,,
0.188472509,0.003489685,0.17078732,,
0.186301649,0.003520947,0.174180701,,
0.184130788,0.00354857,0.177544773,,
0.181959927,0.003556785,0.178173333,,
0.179789066,0.00359439,0.179395288,,
0.177618206,0.003633547,0.180605799,,
0.175447345,0.003642221,0.181285501,,
0.173276484,0.00367641,0.185424984,,
0.171105623,0.003712305,0.189805016,,
0.168934762,0.003721508,0.191096127,,
0.166763902,0.003759341,0.196637377,,
0.164593041,0.003783754,0.200234532,,
0.16242218,0.003809736,0.204971895,,
0.160251319,0.003833828,0.210149199,,
0.158080459,0.003866219,0.216966763,,
0.155909598,0.003889069,0.220562398,,
0.153738737,0.003908395,0.224793553,,
0.151567876,0.003938151,0.223655671,,
0.149397016,0.003970783,0.222986668,,
0.147226155,0.003993118,0.224606514,,
0.145055294,0.004020848,0.227655455,,
0.142884433,0.00404371,0.231117219,,
0.140713573,0.00407252,0.235810995,,
0.138542712,0.004103883,0.240982175,,
0.136371851,0.004124971,0.244302958,,
0.13420099,0.004151804,0.248642281,,
0.132030129,0.004173299,0.252262026,,
0.129859269,0.004203372,0.257898092,,
0.127688408,0.004231788,0.263606399,,
0.125517547,0.004253509,0.268253148,,
0.123346694,0.004280332,0.274169415,,
0.12117584,0.004312227,0.281446874,,
0.119004987,0.004331062,0.285911977,,
0.116834134,0.004357211,0.292398751,,
0.114663281,0.004378297,0.297895849,,
0.112492427,0.004405935,0.30559358,,
0.110321574,0.004434136,0.313809603,,
0.108150721,0.00445432,0.319965988,,
0.105979867,0.004479388,0.327922076,,
0.103809014,0.004498202,0.334086925,,
0.101638161,0.004526917,0.34428367,,
0.099467307,0.004551894,0.353726983,,
0.097296454,0.004571697,0.361742705,,
0.095125601,0.004595999,0.372239351,,
0.092954747,0.004623071,0.384670764,,
0.090783894,0.004640226,0.393227339,,
0.088613041,0.004662261,0.404950351,,
0.086442187,0.004679755,0.414945841,,
0.084271334,0.004702844,0.429615676,,
0.082100481,0.004724908,0.444901556,,
0.079929628,0.004740744,0.457205743,,
0.077758774,0.004759234,0.473201454,,
0.075587921,0.004772531,0.485716432,,
