Soybean Oil,,
,,
Density,[kg/m^3],918.5
Temperature,[C],20
Dynamic Viscosity,[Pa s],0.06164972
,,
 Z [ m ], Pressure [ MPa ],Velocity [ m s^-1 ]
0.011632653,0.002277704,1.96400881
0.011020408,0.002298638,1.958444
0.010408163,0.002319827,1.95292056
0.009795918,0.002338857,1.9476409
0.009183673,0.002351713,1.94252455
0.008571428,0.00236446,1.93780506
0.007959183,0.002377101,1.93348372
0.007346939,0.002389637,1.92955995
0.006734694,0.002401721,1.92597175
0.006122449,0.002410968,1.92243564
0.005510204,0.002420194,1.91929364
0.004897959,0.002429399,1.91654766
0.004285714,0.002438583,1.91419923
0.003673469,0.002447746,1.91224992
0.003061224,0.00245702,1.88139248
0.00244898,0.002466371,1.83230424
0.001836735,0.00247572,1.78340936
0.00122449,0.002485067,1.73472416
0.000612245,0.002494412,1.68626583
0,0.002503754,1.63805401
