Soybean Oil,,,
,,,
Density,[kg/m^3],906.1,
Temperature,[C],40,
Dynamic Viscosity,[Pa s],0.028469662,
,,,
 Z [ m ], Pressure [ MPa ], Velocity [ m s^-1 ],
0.19064337,0.002412687,0.135176882,
0.188472509,0.00242404,0.136606157,
0.186301649,0.002445758,0.139213711,
0.184130788,0.002464945,0.141977951,
0.181959927,0.002470652,0.142389402,
0.179789066,0.002496775,0.142457515,
0.177618206,0.002523967,0.142638341,
0.175447345,0.002529993,0.143075228,
0.173276484,0.002553757,0.146288976,
0.171105623,0.002578703,0.14986676,
0.168934762,0.002585104,0.150905594,
0.166763902,0.002611442,0.155055374,
0.164593041,0.002628436,0.157811999,
0.16242218,0.002646517,0.161068246,
0.160251319,0.002663281,0.164671436,
0.158080459,0.002685793,0.168879822,
0.155909598,0.002701649,0.169243589,
0.153738737,0.002715051,0.170677036,
0.151567876,0.002735544,0.165927902,
0.149397016,0.00275808,0.160666898,
0.147226155,0.002773493,0.15944086,
0.145055294,0.002792637,0.158866733,
0.142884433,0.00280842,0.159360483,
0.140713573,0.002828308,0.160292178,
0.138542712,0.002849969,0.161474079,
0.136371851,0.002864552,0.162377685,
0.13420099,0.002883123,0.16383779,
0.132030129,0.002898013,0.165340737,
0.129859269,0.002918857,0.168430865,
0.127688408,0.00293856,0.172028318,
0.125517547,0.002953625,0.175308079,
0.123346694,0.00297223,0.179704174,
0.12117584,0.002994357,0.18537572,
0.119004987,0.003007427,0.189009652,
0.116834134,0.003025573,0.194490612,
0.114663281,0.003040205,0.199312761,
0.112492427,0.003059388,0.206272662,
0.110321574,0.003078965,0.213857144,
0.108150721,0.003092979,0.219662011,
0.105979867,0.003110379,0.227192163,
0.103809014,0.003123436,0.233035833,
0.101638161,0.003143365,0.24276866,
0.099467307,0.003160703,0.251942128,
0.097296454,0.003174456,0.259919822,
0.095125601,0.003191318,0.270341098,
0.092954747,0.003210083,0.282604814,
0.090783894,0.003221953,0.290895879,
0.088613041,0.003237195,0.302286178,
0.086442187,0.003249291,0.312013805,
0.084271334,0.003265237,0.3264018,
0.082100481,0.003280462,0.34150061,
0.079929628,0.003291376,0.353755027,
0.077758774,0.003304099,0.369634658,
0.075587921,0.003313236,0.382032216,
0.073417068,0.003326453,0.403845668,
0.071246214,0.00333692,0.424275905,
0.069075361,0.00334433,0.441819757,
0.066904508,0.003352133,0.466305315,
0.064733654,0.003358934,0.495530277,
0.062562801,0.003361786,0.517691195,
0.060391948,0.003363827,0.547465205,
0.058221094,0.003364113,0.57224673,
0.056050241,0.003361759,0.613044083,
0.053879388,0.003355223,0.656578064,
0.051708534,0.003344859,0.696362674,
0.049537681,0.003322878,0.756254911,
0.047366828,0.003287488,0.834131062,
0.045195974,0.003253889,0.894491851,
0.043025121,0.003193275,0.992716014,
0.040854268,0.003136626,1.07853544,
0.038683415,0.002982802,1.24766457,
0.036512561,0.002804711,1.45080543,
0.034341708,0.002534156,1.7912364,
0.032170855,0.001811369,1.95045185,
0.029999999,0.000955064,2.13647175,
0.029999979,0.000955064,2.13647151,
0.029387735,0.000976852,2.14066029,
0.028775491,0.001009504,2.15319276,
0.028163247,0.001050307,2.17373824,
0.027551003,0.001097411,2.20193529,
0.026938759,0.001148947,2.23731875,
0.026326515,0.001229408,2.24218607,
0.025714271,0.00131934,2.24110508,
0.025102027,0.001410108,2.2457366,
0.024489783,0.00150157,2.25587225,
0.023877539,0.001593353,2.27149725,
0.023265295,0.00165693,2.25400186,
0.022653051,0.001709662,2.23494792,
0.022040807,0.001756801,2.21671987,
0.021428563,0.00180394,2.20016193,
0.020816319,0.001857087,2.1808145,
0.020204075,0.001914742,2.16227841,
0.019591831,0.001948617,2.14417338,
0.018979587,0.001976321,2.12925696,
0.018367343,0.002010658,2.10763645,
0.017755099,0.002045788,2.08537483,
0.017142855,0.002081054,2.06364107,
0.016530611,0.002114247,2.04329538,
0.015918367,0.002131631,2.02893353,
0.015306123,0.002148303,2.01572585,
0.014693878,0.00216429,2.00351501,
0.014081633,0.002179631,1.99217963,
0.013469388,0.002194425,1.98159802,
0.012857143,0.00221405,1.97209036,
0.012244898,0.002237095,1.96366715,
0.011632653,0.002261233,1.95589423,
0.011020408,0.002281469,1.95064819,
0.010408163,0.002301965,1.94538891,
0.009795918,0.002320362,1.94024551,
0.009183673,0.002332737,1.93502569,
0.008571428,0.002345008,1.93020844,
0.007959183,0.002357176,1.92579377,
0.007346939,0.002369245,1.92178226,
0.006734694,0.0023809,1.91830122,
0.006122449,0.002389986,1.91627216,
0.005510204,0.00239905,1.91463721,
